,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
0,0,1,1,47.0,0,0,25.5875,0,0,1
1,0,3,1,32.0,0,0,7.75,0,1,0
2,0,1,1,24.0,0,1,247.5208,1,0,0
3,0,1,1,44.0,2,0,90.0,0,1,0
4,0,1,1,40.0,0,0,27.7208,1,0,0
5,0,3,1,22.0,0,0,7.5208,0,0,1
6,0,3,1,27.0,0,0,7.8958,0,0,1
7,0,3,1,33.0,0,0,7.8958,0,0,1
8,1,1,0,26.0,0,0,78.85,0,0,1
9,0,1,1,38.0,0,0,0.0,0,0,1
10,1,2,0,28.0,0,0,13.0,0,0,1
11,0,3,0,20.0,0,0,8.6625,0,0,1
12,1,2,0,42.0,1,0,26.0,0,0,1
13,1,3,1,45.0,0,0,8.05,0,0,1
14,0,3,1,23.5,0,0,7.2292,1,0,0
15,1,2,0,4.0,2,1,39.0,0,0,1
16,1,3,0,29.0,0,2,15.2458,1,0,0
17,0,2,1,54.0,0,0,14.0,0,0,1
18,0,3,0,11.0,4,2,31.275,0,0,1
19,1,1,1,35.0,0,0,26.2875,0,0,1
20,1,1,1,49.0,1,0,89.1042,1,0,0
21,0,2,1,18.0,0,0,73.5,0,0,1
22,0,3,1,28.0,0,0,7.8542,0,0,1
23,1,2,0,30.0,0,0,12.35,0,1,0
24,0,3,1,28.5,0,0,16.1,0,0,1
25,0,3,0,39.0,0,5,29.125,0,1,0
26,1,3,0,31.0,0,0,8.6833,0,0,1
27,0,1,1,46.0,0,0,79.2,1,0,0
28,0,3,1,19.0,0,0,7.65,0,0,1
29,1,1,0,35.0,1,0,90.0,0,0,1
30,1,1,0,24.0,0,0,49.5042,1,0,0
31,1,2,1,3.0,1,1,18.75,0,0,1
32,1,3,0,27.0,0,0,7.925,0,0,1
33,0,2,1,30.0,0,0,13.0,0,0,1
34,1,1,0,24.0,0,0,69.3,1,0,0
35,0,2,1,51.0,0,0,12.525,0,0,1
36,0,2,1,32.0,2,0,73.5,0,0,1
37,0,2,1,30.0,0,0,13.0,0,0,1
38,1,2,1,42.0,0,0,13.0,0,0,1
39,0,1,1,52.0,1,1,79.65,0,0,1
40,0,3,1,38.0,0,0,7.05,0,0,1
41,0,3,0,9.0,4,2,31.275,0,0,1
42,0,2,1,36.5,0,2,26.0,0,0,1
43,0,3,1,36.0,1,0,15.55,0,0,1
44,1,3,0,16.0,0,0,7.7333,0,1,0
45,1,3,1,26.0,0,0,56.4958,0,0,1
46,1,3,1,25.0,1,0,7.775,0,0,1
47,0,2,1,30.0,1,0,24.0,1,0,0
48,0,1,1,19.0,1,0,53.1,0,0,1
49,0,3,1,19.0,0,0,7.8958,0,0,1
50,1,1,0,58.0,0,0,146.5208,1,0,0
51,0,3,1,19.0,0,0,6.75,0,1,0
52,0,3,1,2.0,4,1,39.6875,0,0,1
53,1,1,0,48.0,1,0,39.6,1,0,0
54,0,3,1,47.0,0,0,9.0,0,0,1
55,1,2,1,32.0,1,0,26.0,0,0,1
56,1,1,0,47.0,1,1,52.5542,0,0,1
57,0,3,0,9.0,1,1,15.2458,1,0,0
58,0,2,1,28.0,0,0,13.0,0,0,1
59,1,3,0,27.0,0,2,11.1333,0,0,1
60,0,3,1,40.0,1,1,15.5,0,1,0
61,1,1,1,26.0,0,0,30.0,1,0,0
62,0,3,1,21.0,0,0,8.05,0,0,1
63,1,2,0,18.0,0,2,13.0,0,0,1
64,0,3,1,33.0,0,0,8.6542,0,0,1
65,1,3,1,29.0,0,0,9.5,0,0,1
66,1,2,0,23.0,0,0,13.7917,1,0,0
67,0,3,1,11.0,5,2,46.9,0,0,1
68,0,1,1,29.0,1,0,66.6,0,0,1
69,0,3,1,31.0,0,0,7.775,0,0,1
70,1,1,0,30.0,0,0,31.0,1,0,0
71,0,1,1,61.0,0,0,32.3208,0,0,1
72,0,3,1,32.0,1,0,15.85,0,0,1
73,1,3,1,9.0,1,1,15.9,0,0,1
74,1,2,0,17.0,0,0,12.0,1,0,0
75,0,2,1,39.0,0,0,13.0,0,0,1
76,1,2,1,19.0,0,0,10.5,0,0,1
77,1,1,0,63.0,1,0,77.9583,0,0,1
78,0,3,0,17.0,0,0,14.4583,1,0,0
79,1,1,1,40.0,0,0,31.0,1,0,0
80,0,1,1,51.0,0,1,61.3792,1,0,0
81,1,1,0,45.0,1,1,164.8667,0,0,1
82,1,3,1,20.0,1,0,7.925,0,0,1
83,0,3,1,21.0,0,0,8.4333,0,0,1
84,1,2,0,36.0,0,0,13.0,0,0,1
85,1,2,1,34.0,0,0,13.0,0,0,1
86,0,3,0,14.0,0,0,7.8542,0,0,1
87,0,3,0,14.5,1,0,14.4542,1,0,0
88,1,3,1,31.0,0,0,7.925,0,0,1
89,1,1,0,39.0,1,1,79.65,0,0,1
90,0,3,1,23.0,0,0,7.8542,0,0,1
91,0,2,1,23.0,0,0,15.0458,1,0,0
92,1,1,0,21.0,0,0,77.9583,0,0,1
93,0,3,1,35.0,0,0,7.125,0,0,1
94,0,3,1,70.5,0,0,7.75,0,1,0
95,0,3,1,29.0,0,0,9.4833,0,0,1
96,1,2,0,36.0,0,0,13.0,0,0,1
97,0,3,1,15.0,1,1,7.2292,1,0,0
98,0,2,1,48.0,0,0,13.0,0,0,1
99,0,3,1,25.0,0,0,7.7417,0,1,0
100,0,3,1,14.0,5,2,46.9,0,0,1
101,1,3,0,26.0,0,0,7.8542,0,0,1
